id,city,basin,riverName,siteName,date,RPI,WT,PH,EC,NH3N,Ch,Temperature,SS,DO,COD,DOS,BOD,CG
﻿序號,縣市,流域,河川,測點,採樣日期,RPI指標,一般項目,,,,,,,,,,,
,,,,,,"RPI River Pollution Index","水溫 Water Temperature (℃)","酸鹼值 pH","導電度 Conductivity (μmho/cm25℃)","氨氮 NH3-N (mg/L)","氯鹽 Chloride (mg/L)","氣溫 Temperature (℃)","懸浮固體 Suspended Solid (mg/L)","溶氧(電極法) Dissolved Oxygen (mg/L)","化學需氧量 Chemical Oxygen Demand (mg/L)","溶氧飽和度 Dissolved Oxygen Saturation (%)","生化需氧量 Biochemical Oxygen Demand (mg/L)","大腸桿菌群 Coliform Group (CFU/100mL)"
92,高雄市,二仁溪流域,二仁溪,南雄橋,2017/02/07,5.0,23.6,8.0,921,5.78,-,26.2,27.4,6.5,23.1,76.5,6.0,"80,000"
93,高雄市,二仁溪流域,二仁溪,古亭橋,2017/02/07,6.0,25.2,8.4,873,25.1,-,26.6,42.9,16.6,105,202.0,21.1,"9,600"
94,高雄市,二仁溪流域,二仁溪,崇德橋,2017/02/07,5.5,23.4,7.9,959,6.31,-,24.3,36.6,6.2,18.3,72.7,7.2,"190,000"
95,高雄市,二仁溪流域,二仁溪,石安橋,2017/02/07,4.3,25.1,8.0,"1,190",8.95,-,24.6,23.1,8.0,20.1,97.7,3.9,"71,000"
96,高雄市,阿公店溪流域,阿公店溪,前州橋,2017/02/10,5.8,19.4,7.8,"1,640",21.4,-,21.8,6.4,2.3,41.1,24.9,8.4,"430,000"
97,高雄市,阿公店溪流域,阿公店溪,小崗山橋(原為高速鐵路橋下游便橋),2017/02/10,2.8,17.9,7.9,"1,220",1.76,-,15.9,12.5,6.5,17.0,68.8,3.3,"2,200"
98,高雄市,阿公店溪流域,阿公店溪,舊港橋,2017/02/10,5.0,20.0,8.0,"8,740",29.2,"2,560",18.6,9.8,5.0,33.4,57.1,7.7,"39,000"
99,高雄市,阿公店溪流域,阿公店溪,蓬萊橋(原為阿公店溪),2017/02/10,1.0,19.4,7.9,504,0.02,-,16.4,9.4,6.9,12.3,74.6,1.3,110
100,高雄市,阿公店溪流域,阿公店溪,阿公店出水口,2017/02/10,-,-,-,-,-,-,-,-,-,-,-,-,-
101,高雄市,阿公店溪流域,阿公店溪,阿公店橋,2017/02/10,7.8,20.1,7.9,"1,860",17.1,-,19.0,17.4,1.8,55.0,19.5,19.8,"2,400,000"
102,高雄市,高屏溪流域,高屏溪,六龜大橋,2017/02/08,1.0,23.0,8.2,574,<0.01,-,22.6,8.4,6.9,5.3,80.8,1.8,70
103,高雄市,高屏溪流域,高屏溪,大津橋,2017/02/08,1.0,22.7,8.2,574,0.01,-,23.8,4.3,8.3,<4.0,96.7,<1.0,50
104,高雄市,高屏溪流域,高屏溪,新寮橋(原為新寮吊橋),2017/02/08,-,-,-,-,-,-,-,-,-,-,-,-,-
105,高雄市,高屏溪流域,高屏溪,新旗尾橋,2017/02/08,1.0,24.9,8.3,530,0.03,-,29.4,3.5,10.7,5.3,130.1,1.6,230
106,高雄市,高屏溪流域,高屏溪,新發大橋,2017/02/08,1.0,20.2,8.3,513,0.02,-,21.5,3.6,8.9,<4.0,98.3,<1.0,560
107,高雄市,高屏溪流域,高屏溪,旗南橋,2017/02/08,1.0,23.2,7.8,550,0.39,-,28.7,16.9,8.5,6.6,98.9,2.0,"18,000"
108,高雄市,高屏溪流域,高屏溪,月眉橋,2017/02/08,-,-,-,-,-,-,-,-,-,-,-,-,-
109,高雄市,高屏溪流域,高屏溪,甲仙取水口(取代四德大橋),2017/02/08,1.0,20.5,8.5,449,0.01,-,22.3,5.1,9.2,<4.0,102.7,<1.0,160
110,高雄市,高屏溪流域,高屏溪,萬大大橋,2017/02/08,5.0,25.3,7.9,788,5.8,-,24.6,49.5,6.7,28.4,81.9,11.0,"780,000"
111,高雄市,高屏溪流域,高屏溪,西門大橋,2017/02/08,1.0,22.6,8.3,485,0.43,-,27.7,17.5,10.3,7.3,118.6,2.2,"68,000"
112,高雄市,高屏溪流域,高屏溪,里嶺大橋(取代嶺口橋),2017/02/08,1.5,25.2,8.0,587,0.16,-,25.9,27.6,8.9,5.8,108.1,1.9,"73,000"
113,高雄市,高屏溪流域,高屏溪,雙園大橋,2017/02/08,6.3,21.6,7.8,"15,200",6.92,"4,840",22.4,20.6,3.0,28.2,35.3,9.9,"240,000"
114,高雄市,高屏溪流域,高屏溪,高屏大橋,2017/02/08,5.0,23.7,8.0,646,3.16,-,24.5,34.1,8.0,15.7,94.6,6.5,"230,000"
115,基隆市,淡水河流域,基隆河,六合橋,2017/02/09,1.5,15.7,7.4,202,0.57,-,12.2,17.7,7.9,7.4,79.5,2.5,"88,000"
116,基隆市,淡水河流域,基隆河,實踐橋,2017/02/09,2.5,15.6,7.3,204,0.51,-,11.7,20.1,7.1,11.7,71.1,4.3,"220,000"
117,基隆市,淡水河流域,基隆河,暖江橋,2017/02/09,1.5,15.3,7.4,192,0.58,-,12.3,9.6,9.0,6.5,89.2,2.1,"290,000"
118,新竹市,客雅溪流域,客雅溪,客雅溪橋,2017/02/08,5.0,22.6,7.2,"3,330",14.6,-,18.4,10.6,5.6,25.4,63.7,6.8,"140,000"
119,新竹市,客雅溪流域,客雅溪,香雅橋,2017/02/08,5.5,21.9,7.3,"3,170",12.9,-,19.2,22.2,4.9,30.4,55.7,6.3,"67,000"
120,新竹市,客雅溪流域,客雅溪,鳳凰橋(原為青草湖),2017/02/08,3.5,19.0,7.6,555,1.1,-,17.9,18.6,7.4,13.8,79.4,5.7,400
121,新竹市,頭前溪流域,頭前溪,湳雅取水口(取代溪洲大橋),2017/02/08,1.0,20.0,7.4,431,0.1,-,20.0,11.8,10.3,11.2,113.2,2.9,"21,000"
122,新竹市,頭前溪流域,頭前溪,頭前溪橋,2017/02/08,2.3,18.5,8.8,359,0.03,-,20.0,17.4,10.4,16.2,110.5,5.4,80
123,新竹市,鹽港溪流域,鹽港溪,中隘橋,2017/02/08,1.5,19.7,7.9,648,0.3,-,18.9,7.2,8.3,14.4,89.8,3.2,"320,000"
124,新竹市,鹽港溪流域,鹽港溪,誠仁橋,2017/02/08,3.8,18.0,7.6,"16,800",1.81,"5,500",18.7,21.1,6.0,16.7,66.7,4.2,"420,000"
125,嘉義市,八掌溪流域,八掌溪,軍輝橋,2017/02/09,1.0,19.1,7.9,764,0.27,-,16.5,11.8,6.5,9.8,70.3,1.8,"3,000"
126,嘉義市,朴子溪流域,朴子溪,牛稠溪橋,2017/02/09,4.3,20.6,8.0,"1,560",6.12,-,17.2,24.2,9.1,27.3,101.2,4.4,"140,000"
127,宜蘭縣,冬山河流域,冬山河,冬山河橋,2017/02/08,1.0,20.4,7.4,191,0.18,-,17.3,6.6,7.4,4.2,82.3,<1.0,"23,000"
128,宜蘭縣,冬山河流域,冬山河,利澤簡橋,2017/02/08,1.5,19.6,7.4,250,0.67,-,17.4,12.4,6.6,9.3,72.5,1.0,"12,000"
129,宜蘭縣,冬山河流域,冬山河,清水大閘,2017/02/08,2.0,18.5,7.6,483,0.86,67.6,16.5,13.4,5.7,13.3,60.3,1.1,"14,000"
130,宜蘭縣,南澳溪流域,南澳溪,南澳橋,2017/02/07,1.5,18.0,8.2,245,<0.01,-,21.9,24.6,9.6,<4.0,100.9,<1.0,110
131,宜蘭縣,南澳溪流域,南澳溪,澳尾橋,2017/02/07,1.0,19.4,8.4,276,<0.01,-,21.7,2.6,9.3,<4.0,101.3,<1.0,390
132,宜蘭縣,南澳溪流域,南澳溪,金洋二號橋(原為金洋),2017/02/07,1.0,20.0,7.8,194,<0.01,-,21.5,12.6,9.1,<4.0,100.4,<1.0,95
133,宜蘭縣,和平溪流域,和平溪,大濁水橋,2017/02/07,3.3,18.3,8.3,435,0.02,-,22.5,557,9.3,<4.0,99.2,<1.0,100
134,宜蘭縣,得子口溪流域,得子口溪,七結橋(取代得子口橋),2017/02/08,5.0,20.3,7.2,248,4.33,-,20.9,21.5,3.0,12.4,32.3,2.6,"21,000"
135,宜蘭縣,得子口溪流域,得子口溪,時潮橋(原為復興橋),2017/02/08,2.8,18.7,7.4,"2,940",1.2,798,20.1,17.4,5.7,11.8,61.2,1.0,"31,000"
136,宜蘭縣,得子口溪流域,得子口溪,美慶山莊,2017/02/08,1.0,18.6,8.5,150,0.01,-,21.4,<1.0,10.2,<4.0,108.3,<1.0,80
137,宜蘭縣,新城溪流域,新城溪,新城橋,2017/02/08,1.0,17.0,8.0,151,0.02,-,16.3,2.4,9.8,5.7,101.6,<1.0,170
138,宜蘭縣,新城溪流域,新城溪,武荖坑,2017/02/08,1.0,16.6,7.9,148,0.01,-,16.2,1.8,9.9,<4.0,101.8,<1.0,150
139,宜蘭縣,新城溪流域,新城溪,龍德大橋,2017/02/08,1.0,18.7,8.0,152,0.02,-,17.3,4.6,9.5,<4.0,101.7,<1.0,190
140,宜蘭縣,蘇澳溪流域,蘇澳溪,永樂里,2017/02/07,1.0,19.0,8.2,204,<0.01,-,22.2,6.6,9.1,<4.0,97.5,<1.0,510
141,宜蘭縣,蘇澳溪流域,蘇澳溪,白米橋,2017/02/07,1.0,21.0,7.3,227,0.05,-,22.5,10.6,8.5,<4.0,95.0,<1.0,"6,000"
142,宜蘭縣,蘭陽溪流域,蘭陽溪,噶瑪蘭橋(原為興蘭大橋),2017/02/08,2.3,18.4,8.1,480,0.09,3.7,17.0,63.4,9.1,5.2,96.8,<1.0,"5,400"
