案類,發生日期,發生地點
住宅竊盜,1040215,新北市萬里區
住宅竊盜,1040215,南投縣名間鄉
住宅竊盜,1040215,金門縣金城鎮
住宅竊盜,1040215,新北市板橋區
住宅竊盜,1040215,台中市大雅區
住宅竊盜,1040215,苗栗縣頭份鎮
住宅竊盜,1040215,宜蘭縣五結鄉
住宅竊盜,1040215,新北市板橋區
住宅竊盜,1040215,高雄市鳳山區
住宅竊盜,1040215,南投縣國姓鄉
住宅竊盜,1040215,南投縣草屯鎮
住宅竊盜,1040215,新北市中和區
住宅竊盜,1040216,新北市新莊區
住宅竊盜,1040216,新北市八里區
住宅竊盜,1040216,新北市中和區
住宅竊盜,1040216,新北市三重區
住宅竊盜,1040216,桃園市桃園區
住宅竊盜,1040216,台北市中正區
住宅竊盜,1040216,新北市中和區
住宅竊盜,1040216,新北市板橋區
住宅竊盜,1040216,基隆市中山區
住宅竊盜,1040216,雲林縣林內鄉
住宅竊盜,1040217,桃園市中壢區
住宅竊盜,1040217,宜蘭縣頭城鎮
住宅竊盜,1040217,宜蘭縣五結鄉
住宅竊盜,1040217,新北市三重區
住宅竊盜,1040217,新北市三重區
住宅竊盜,1040217,台南市永康區
住宅竊盜,1040217,嘉義縣溪口鄉
住宅竊盜,1040217,雲林縣西螺鎮
住宅竊盜,1040218,新竹市北區
住宅竊盜,1040218,新北市板橋區
住宅竊盜,1040218,宜蘭縣羅東鎮
住宅竊盜,1040218,新北市汐止區
住宅竊盜,1040218,高雄市鳳山區
住宅竊盜,1040218,台中市東區
住宅竊盜,1040218,台北市大同區
住宅竊盜,1040219,彰化縣溪州鄉
住宅竊盜,1040219,宜蘭縣羅東鎮
住宅竊盜,1040219,新北市板橋區
住宅竊盜,1040219,花蓮縣花蓮市
住宅竊盜,1040219,宜蘭縣宜蘭市
住宅竊盜,1040219,宜蘭縣五結鄉
住宅竊盜,1040219,台北市信義區
住宅竊盜,1040219,台南市將軍區
住宅竊盜,1040219,高雄市鳳山區
住宅竊盜,1040219,台北市北投區
住宅竊盜,1040219,台北市信義區
住宅竊盜,1040219,台北市信義區
住宅竊盜,1040219,高雄市三民區
住宅竊盜,1040219,高雄市大社區
住宅竊盜,1040220,新北市淡水區
住宅竊盜,1040220,屏東縣屏東市
住宅竊盜,1040220,苗栗縣苗栗市
住宅竊盜,1040220,台北市北投區
住宅竊盜,1040220,新北市土城區
住宅竊盜,1040220,新北市板橋區
住宅竊盜,1040220,新竹縣竹東鎮
住宅竊盜,1040220,新竹市香山區
住宅竊盜,1040220,新北市五股區
住宅竊盜,1040221,新北市中和區
住宅竊盜,1040221,宜蘭縣壯圍鄉
住宅竊盜,1040221,雲林縣西螺鎮
住宅竊盜,1040221,宜蘭縣五結鄉
住宅竊盜,1040221,新北市三峽區
住宅竊盜,1040221,雲林縣元長鄉
住宅竊盜,1040221,新竹縣新豐鄉
